,feature,pCor,f1_score,logloss,filterNorms,deviance
0,mfDist,0.6464968152866242,0.690807799442897,0.6408201511185313,0.5114064124926777,402.4350549024377
1,mfDist,0.6369426751592356,0.6815642458100559,0.6294609030239242,0.5000363368656723,395.3014470990244
2,mfDist,0.6305732484076433,0.6813186813186813,0.6354265563029886,0.5103779092430618,399.0478773582769
3,mfDist,0.643312101910828,0.6956521739130436,0.6417204052952311,0.49843009751071954,403.0004145254051
4,mfDist,0.5859872611464968,0.6467391304347827,0.6688560779649456,0.5232054318025087,420.0416169619858
5,mfDist,0.60828025477707,0.6666666666666667,0.654928469624288,0.4936914069959119,411.29507892405286
6,mfDist,0.5987261146496815,0.6480446927374302,0.6589321039361054,0.5023734199901099,413.8093612718742
7,mfDist,0.6815286624203821,0.732620320855615,0.6092543596823411,0.4915612658309629,382.6117378805102
8,mfDist,0.6369426751592356,0.6815642458100559,0.6605810880961956,0.4957564007112724,414.84492332441084
9,mfDist,0.6464968152866242,0.6782608695652174,0.6124689496172523,0.49492892936347976,384.6305003596344
10,mfDist,0.6847133757961783,0.7195467422096317,0.6017032875261309,0.49249740367274,377.8696645664102
11,mfDist,0.6146496815286624,0.664819944598338,0.6559732265100002,0.5170748841503042,411.9511862482801
12,mfDist,0.6464968152866242,0.7116883116883117,0.6316643253619969,0.4944928435993715,396.68519632733404
13,mfDist,0.6114649681528662,0.6648351648351649,0.6519843942256764,0.4949930815224983,409.4461995737248
14,mfDist,0.6560509554140127,0.6966292134831461,0.6400922727907381,0.5053886303009852,401.9779473125835
15,mfDist,0.6656050955414012,0.7138964577656676,0.624191623639397,0.4949091573566654,391.9923396455413
16,mfDist,0.6528662420382165,0.6946778711484595,0.6421594005655745,0.49761287216593114,403.2761035551808
17,mfDist,0.6624203821656051,0.7055555555555555,0.633681579098703,0.5001954358299835,397.9520316739855
18,mfDist,0.6560509554140127,0.6949152542372882,0.6322507142906767,0.5064958973813085,397.053448574545
19,mfDist,0.6114649681528662,0.6611111111111111,0.662507155322334,0.5135651834471019,416.0544935424257
20,mfDist,0.6656050955414012,0.6991404011461317,0.6324019644551132,0.4904947524367402,397.1484336778111
21,mfDist,0.6719745222929936,0.713091922005571,0.6125566869258372,0.47611460779538267,384.68559938942576
22,mfDist,0.6178343949044586,0.6610169491525423,0.6401572650378448,0.5330941029655423,402.0187624437665
23,mfDist,0.6687898089171974,0.7158469945355191,0.6416591675333397,0.49894184850705353,402.9619572109374
24,mfDist,0.6242038216560509,0.6703910614525139,0.6481803348881724,0.5187923280701824,407.05725030977226
25,mfDist,0.6464968152866242,0.6942148760330578,0.6272688919680671,0.49266119011875115,393.9248641559462
26,mfDist,0.6719745222929936,0.7048710601719198,0.6138863801295443,0.4793225730177109,385.52064672135384
27,mfDist,0.6369426751592356,0.6850828729281768,0.6269093910898692,0.503172216536809,393.6990976044379
28,mfDist,0.6656050955414012,0.7025495750708216,0.6270975641983421,0.4989679560068694,393.81727031655885
29,mfDist,0.6496815286624203,0.6892655367231638,0.6461948752409686,0.48968031721163524,405.8103816513283
30,mfDist,0.6496815286624203,0.6839080459770116,0.6184192248365216,0.48731801480986975,388.3672731973355
31,mfDist,0.6242038216560509,0.6827956989247312,0.6573982079945333,0.5225515162993167,412.8460746205669
32,mfDist,0.5859872611464968,0.6348314606741573,0.650307305969769,0.496103780894573,408.39298814901497
33,mfDist,0.6369426751592356,0.6850828729281768,0.6370477550405311,0.4999499288295687,400.06599016545357
34,mfDist,0.6242038216560509,0.6666666666666667,0.6503454496289424,0.5239045822940562,408.41694236697583
35,mfDist,0.6210191082802548,0.6609686609686609,0.6394182655412138,0.5260267848254352,401.5546707598823
36,mfDist,0.6050955414012739,0.6593406593406593,0.6480353728279703,0.5026601992750266,406.96621413596534
37,mfDist,0.6305732484076433,0.6864864864864865,0.6739985364511873,0.5261170484187158,423.27108089134566
38,mfDist,0.6210191082802548,0.6666666666666667,0.6455649922480569,0.5452778637345279,405.41481513177973
39,mfDist,0.6560509554140127,0.7,0.6281061975403722,0.5285292512213073,394.4506920553538
40,mfDist,0.6687898089171974,0.7045454545454546,0.6355290123913557,0.49907384886888156,399.1122197817714
41,mfDist,0.6273885350318471,0.6685552407932012,0.6376602443437804,0.4859474227897145,400.4506334478941
42,mfDist,0.6847133757961783,0.7113702623906705,0.6147218434181353,0.5172140704670765,386.04531766658897
43,mfDist,0.6560509554140127,0.7049180327868853,0.629016295056302,0.49749470419970593,395.02223329535764
44,mfDist,0.6751592356687898,0.7213114754098361,0.6134066490833187,0.4950470040650553,385.21937562432413
45,mfDist,0.6305732484076433,0.6795580110497237,0.6432469578211077,0.49195856948222494,403.95908951165563
46,mfDist,0.643312101910828,0.7005347593582888,0.6404321726919558,0.5130621694004474,402.1914044505483
47,mfDist,0.6337579617834395,0.6883468834688348,0.6556104817560471,0.4882049287319783,411.7233825427976
48,mfDist,0.5796178343949044,0.6470588235294117,0.6732135997084042,0.5129739040582965,422.77814061687786
49,mfDist,0.6369426751592356,0.6647058823529411,0.6432149643413622,0.522043047880268,403.93899760637544
50,mfDist,0.6242038216560509,0.6569767441860466,0.647738695618113,0.5208081098677376,406.779900848175
51,mfDist,0.6592356687898089,0.7052341597796142,0.6304788189600521,0.48777417827050745,395.9406983069127
52,mfDist,0.60828025477707,0.6592797783933518,0.6562094373090493,0.48794420319745185,412.099526630083
53,mfDist,0.6369426751592356,0.6742857142857143,0.6363160158282604,0.49931987132967953,399.6064579401475
54,mfDist,0.6369426751592356,0.6885245901639345,0.642544083604982,0.5070339145935299,403.5176845039287
55,mfDist,0.6528662420382165,0.6912181303116148,0.6235766422529959,0.49255093542038986,391.6061313348814
56,mfDist,0.6624203821656051,0.7005649717514125,0.6317665411040801,0.5037534197213551,396.7493878133623
57,mfDist,0.6592356687898089,0.7052341597796142,0.6261232479587006,0.49771987371316667,393.2053997180639
58,mfDist,0.6560509554140127,0.6931818181818182,0.6187099460726783,0.5200971354106941,388.54984613364195
59,mfDist,0.6910828025477707,0.715542521994135,0.6097676552115332,0.49900781499043545,382.93408747284286
60,mfDist,0.6560509554140127,0.6966292134831461,0.6033787012626859,0.5049001421062487,378.92182439296676
61,mfDist,0.6464968152866242,0.6890756302521008,0.6440663727953249,0.5095503736996235,404.47368211546404
62,mfDist,0.6528662420382165,0.6822157434402333,0.6188327184906428,0.49421899723061097,388.6269472121237
63,mfDist,0.6019108280254777,0.6630727762803235,0.6505254593319434,0.48168391534054494,408.52998846046046
64,mfDist,0.6687898089171974,0.7028571428571428,0.6302872244923396,0.5196735999000407,395.8203769811893
65,mfDist,0.6910828025477707,0.7236467236467238,0.61661486045242,0.5236568416061825,387.2341323641198
66,mfDist,0.6528662420382165,0.699724517906336,0.6321214140304576,0.4793968507472134,396.9722480111274
67,mfDist,0.6464968152866242,0.6958904109589041,0.6460238976303139,0.49317187082505276,405.70300771183713
68,mfDist,0.6687898089171974,0.7142857142857144,0.6285887724089321,0.507426225735133,394.75374907280934
69,mfDist,0.6496815286624203,0.6944444444444445,0.6133424174245896,0.4949385119548345,385.1790381426423
70,mfDist,0.6146496815286624,0.6629526462395543,0.6506394583887808,0.5195238599001266,408.6015798681543
71,mfDist,0.6719745222929936,0.7146814404432134,0.6383989380530425,0.5226041322639241,400.9145330973107
72,mfDist,0.60828025477707,0.6573816155988859,0.6533300564217691,0.4868078234592195,410.29127543287103
73,mfDist,0.6719745222929936,0.7098591549295775,0.6362299305034863,0.4975623168003681,399.5523963561894
74,mfDist,0.643312101910828,0.6853932584269663,0.6201901854348941,0.5108796562897048,389.4794364531135
75,mfDist,0.6528662420382165,0.699724517906336,0.6418409481714871,0.496614514203294,403.07611545169385
76,mfDist,0.6242038216560509,0.6827956989247312,0.6530787977077258,0.4963728327681959,410.1334849604518
77,mfDist,0.60828025477707,0.6455331412103745,0.6726933801769428,0.5106615559520649,422.4514427511201
78,mfDist,0.6401273885350318,0.6954177897574124,0.6309547332878812,0.5057747424288479,396.2395725047894
79,mfDist,0.6656050955414012,0.6991404011461317,0.6288122657018133,0.5027878185384418,394.8941028607387
80,mfDist,0.6242038216560509,0.6793478260869565,0.6457155591434277,0.49868653823456,405.5093711420726
81,mfDist,0.6178343949044586,0.6721311475409837,0.6484347894360749,0.4986020279179245,407.21704776585506
82,mfDist,0.6178343949044586,0.6590909090909091,0.6383713115145054,0.49302567762924715,400.89718363110944
83,mfDist,0.6560509554140127,0.6949152542372882,0.6316058807030324,0.4961272737955978,396.64849308150434
84,mfDist,0.6528662420382165,0.7046070460704607,0.6520157603060541,0.506859490875483,409.46589747220196
85,mfDist,0.6401273885350318,0.6920980926430517,0.6598831793838956,0.49882837194593516,414.4066366530865
86,mfDist,0.6656050955414012,0.7123287671232877,0.6323304028714636,0.5107374335907183,397.10349300327914
87,mfDist,0.6401273885350318,0.6887052341597796,0.6233554162616115,0.4982371969628799,391.467201412292
88,mfDist,0.6464968152866242,0.690807799442897,0.6317743804009437,0.495444677511966,396.75431089179267
89,mfDist,0.6273885350318471,0.6666666666666666,0.648890187976191,0.491651067479553,407.503038049048
90,mfDist,0.6401273885350318,0.672463768115942,0.6491185863807276,0.5224916392211111,407.64647224709694
91,mfDist,0.6401273885350318,0.6816901408450705,0.6261462384118227,0.5210267550980422,393.2198377226247
92,mfDist,0.5764331210191083,0.6232294617563738,0.6683331139615462,0.512346398767168,419.713195567851
93,mfDist,0.6369426751592356,0.6815642458100559,0.644577738650027,0.5114560118239763,404.794819872217
94,mfDist,0.6815286624203821,0.7126436781609194,0.6307122745307384,0.504263694142547,396.0873084053037
95,mfDist,0.6050955414012739,0.6497175141242938,0.6312345302404426,0.4914598037280817,396.415284990998
96,mfDist,0.6592356687898089,0.7036011080332409,0.6167478914269917,0.5193837527298948,387.31767581615077
97,mfDist,0.6719745222929936,0.7208672086720868,0.6213550298695192,0.4763159226719763,390.21095875805804
