,feature,pCor,f1_score,logloss,filterNorms
0,mfDist,0.6496815286624203,0.6927374301675977,0.6414183616931711,0.5609895572665875
1,mfDist,0.6242038216560509,0.6703910614525139,0.6303574353136819,0.5468985363142246
2,mfDist,0.6369426751592356,0.6868131868131868,0.6367534235178559,0.556512766230102
3,mfDist,0.6496815286624203,0.6978021978021978,0.6435527135171412,0.5399274703783248
4,mfDist,0.5796178343949044,0.6451612903225807,0.6700480985638834,0.561623009891902
5,mfDist,0.5859872611464968,0.6542553191489362,0.6521129202938649,0.5384236549325796
6,mfDist,0.5732484076433121,0.633879781420765,0.6646713397370514,0.5386193481938198
7,mfDist,0.6687898089171974,0.7234042553191489,0.6116055328855978,0.5132179434028944
8,mfDist,0.6369426751592356,0.6833333333333335,0.6579225170858365,0.565171331582488
9,mfDist,0.6369426751592356,0.6742857142857143,0.6162027103451717,0.5421030642182876
10,mfDist,0.6815286624203821,0.7222222222222222,0.6023623837087442,0.5162498449253964
11,mfDist,0.6050955414012739,0.6593406593406593,0.6577202027894494,0.5586214141627045
12,mfDist,0.6337579617834395,0.7012987012987012,0.6332393978468833,0.5482449467763062
13,mfDist,0.6114649681528662,0.6648351648351649,0.6539979563191688,0.558739547014776
14,mfDist,0.6496815286624203,0.6978021978021978,0.6390815958309516,0.5471209003069692
15,mfDist,0.6496815286624203,0.7027027027027027,0.6246980831678617,0.5407759122596013
16,mfDist,0.6496815286624203,0.6910112359550561,0.6459602376694368,0.5533220417094495
17,mfDist,0.6719745222929936,0.7178082191780822,0.6303332979855379,0.5619395876128085
18,mfDist,0.6401273885350318,0.6869806094182825,0.6343786004000339,0.5403188794359965
19,mfDist,0.6050955414012739,0.6630434782608695,0.661648838719649,0.5379789477253022
20,mfDist,0.6624203821656051,0.7022471910112361,0.6275241294618675,0.5452306585289407
21,mfDist,0.6751592356687898,0.711864406779661,0.6158093735885725,0.5245550012123464
22,mfDist,0.6305732484076433,0.6759776536312849,0.643993972524518,0.578434510552489
23,mfDist,0.6751592356687898,0.7228260869565216,0.6417015135976787,0.552245744670805
24,mfDist,0.6242038216560509,0.6722222222222223,0.6528946940414788,0.5655206113869544
25,mfDist,0.6337579617834395,0.6883468834688348,0.6280021319922581,0.5299345720685724
26,mfDist,0.6751592356687898,0.7150837988826816,0.608138817630848,0.5106742150568336
27,mfDist,0.6369426751592356,0.6885245901639345,0.6254730654482046,0.5489358232705016
28,mfDist,0.6401273885350318,0.6869806094182825,0.6328979504660546,0.5464924590335902
29,mfDist,0.6401273885350318,0.6834733893557422,0.6494580647175667,0.5451451737841184
30,mfDist,0.6496815286624203,0.6875000000000001,0.6181950127173426,0.5432704591769311
31,mfDist,0.6210191082802548,0.6775067750677508,0.6587059335421671,0.5564766439778097
32,mfDist,0.5859872611464968,0.6428571428571428,0.6540266889015787,0.5634498435675142
33,mfDist,0.6560509554140127,0.7032967032967032,0.6351585372493397,0.540557212475209
34,mfDist,0.6273885350318471,0.6722689075630253,0.6509651890451492,0.5728908898614918
35,mfDist,0.6114649681528662,0.6534090909090909,0.6444119394369074,0.5805777781130735
36,mfDist,0.5859872611464968,0.644808743169399,0.6481791819483511,0.5486932568557052
37,mfDist,0.6178343949044586,0.6774193548387096,0.6778207366917234,0.5777802341617775
38,mfDist,0.6242038216560509,0.6666666666666667,0.6477028742369701,0.5699233359070162
39,mfDist,0.6560509554140127,0.6983240223463687,0.6315087001110449,0.5543949859020737
40,mfDist,0.6687898089171974,0.7062146892655368,0.6356307480698307,0.5372110694385758
41,mfDist,0.5987261146496815,0.6519337016574586,0.6452218153559243,0.5396890055046223
42,mfDist,0.6910828025477707,0.718840579710145,0.6193739781662628,0.5468414020690897
43,mfDist,0.6464968152866242,0.7008086253369272,0.6323924240077704,0.5538722919898904
44,mfDist,0.6878980891719745,0.7307692307692307,0.6101865208888334,0.543205463765804
45,mfDist,0.6273885350318471,0.6829268292682927,0.6408443757534708,0.5244549219235358
46,mfDist,0.6242038216560509,0.6878306878306879,0.6400100407548379,0.5730656099947607
47,mfDist,0.6337579617834395,0.6849315068493151,0.6593058458395124,0.562387850063415
48,mfDist,0.5700636942675159,0.6419098143236075,0.6744959282588848,0.5534235356508733
49,mfDist,0.6146496815286624,0.6472303206997084,0.6490129325979689,0.5722127074121934
50,mfDist,0.6273885350318471,0.664756446991404,0.6455445761802301,0.5764461509592121
51,mfDist,0.6560509554140127,0.7032967032967032,0.6301425344342481,0.5244411632994148
52,mfDist,0.5987261146496815,0.657608695652174,0.6568252500801022,0.5374950648961356
53,mfDist,0.6146496815286624,0.6629526462395543,0.6357975779790831,0.5532486822417897
54,mfDist,0.6273885350318471,0.6794520547945206,0.6446610685067906,0.5539485118676878
55,mfDist,0.6528662420382165,0.6963788300835655,0.6266765521656046,0.5310035315251826
56,mfDist,0.6592356687898089,0.6985915492957747,0.6335638155625106,0.5469248920532797
57,mfDist,0.6496815286624203,0.7010869565217391,0.6258192337928165,0.5504626787481729
58,mfDist,0.6464968152866242,0.6890756302521008,0.6249230261262008,0.5676537719709367
59,mfDist,0.6751592356687898,0.7052023121387283,0.6148452308714139,0.5408601922724684
60,mfDist,0.643312101910828,0.688888888888889,0.6040847271138371,0.5539487595251318
61,mfDist,0.6401273885350318,0.6887052341597796,0.6417181358056971,0.5393402565752083
62,mfDist,0.6528662420382165,0.6840579710144927,0.6202192115121555,0.5433051943075685
63,mfDist,0.5923566878980892,0.6595744680851063,0.6532464047824594,0.530058762841965
64,mfDist,0.6656050955414012,0.7042253521126761,0.626646425878151,0.5633680128940592
65,mfDist,0.678343949044586,0.7154929577464789,0.6193164324705442,0.5615715050716639
66,mfDist,0.643312101910828,0.6956521739130436,0.6378618008130582,0.529017903832105
67,mfDist,0.6337579617834395,0.6866485013623979,0.6521589333284564,0.5375975030260092
68,mfDist,0.6687898089171974,0.7204301075268819,0.628786111891116,0.5504710617863713
69,mfDist,0.6560509554140127,0.686046511627907,0.6131871806018699,0.5280852079087804
70,mfDist,0.6210191082802548,0.6703601108033241,0.6526378129365565,0.5714878870018524
71,mfDist,0.6719745222929936,0.713091922005571,0.6396784260044159,0.5691961858315996
72,mfDist,0.6114649681528662,0.6629834254143647,0.652353876052659,0.5126158217238305
73,mfDist,0.6560509554140127,0.7049180327868853,0.6364216663110545,0.5401367528535597
74,mfDist,0.6242038216560509,0.6722222222222223,0.6217899241617171,0.5397609419810381
75,mfDist,0.6656050955414012,0.72,0.6432773361213349,0.5532033921527815
76,mfDist,0.6146496815286624,0.6773333333333333,0.6596584542861615,0.5308103135402117
77,mfDist,0.60828025477707,0.64756446991404,0.6726915072135184,0.5462244025597427
78,mfDist,0.6401273885350318,0.6937669376693766,0.6334522664658035,0.5507194512657532
79,mfDist,0.643312101910828,0.6871508379888268,0.6333413429021171,0.5481290238765099
80,mfDist,0.6369426751592356,0.6885245901639345,0.6495777806048199,0.5420676665774841
81,mfDist,0.6305732484076433,0.6881720430107527,0.6529646419599128,0.5424133354363965
